Art17_FLAaggloID,ReportNetEnvelopeFileId,flarepCode,aggCode,aggName,flaggComments,flaggEUFund,flaggEUFundName,flaggExpecDateCompletion,flaggExpecDateStart,flaggExpecDateStartWork,flaggExpLoad,flaggExpLoadColl,flaggExpLoadIAS,flaggInv,flaggLoan,flaggLoanName,flaggMeasures,flaggOtherFund,flaggOtherFundName,flaggReasons,flaggStatus
853,23209,SK5,SKA4040438,Kmetovo,,2026430,185,20211201,20190701,20200129,,,,2133080,,,building of a collecting system,,,absence of collecting system,NC
854,23209,SK5,SKA6070540,Kokava nad Rimavicou,,4343690,185,20200801,20161201,20170301,,,,4826330,,,building of a collecting system,,,absence of collecting system,NC
855,23209,SK5,SKA4010068,Kolarovo,,15912900,185,20191201,20161201,20170101,,,,17681000,,,building of a collecting system,,,absence of collecting system,NC
856,23209,SK5,SKA4040431,Komjatice,,0,N,20211201,20060101,20200129,,,,6000000,,,building of a collecting system,,,absence of collecting system,NC
857,23209,SK5,SKA4060458,Kovarce,,1243790,185,20181201,20150501,20150901,,,,1381980,,,building of a collecting system,,,,PD
858,23209,SK5,SKA2040274,Krakovany,,5570930,185,20180801,20150101,20150701,,,,5864140,,,building of a collecting system,,,absence of collecting system and low rate of connection,NC
859,23209,SK5,SKA8110655,Kralovsky Chlmec,investments aggregated for collecting system and WWTP,13904600,185,20201201,20161201,20170101,,,,15449600,,,building of a collecting system,,,absence of collecting system,NC
860,23209,SK5,SKA5020100,Krasno nad Kysucou,,31713000,185,20190601,20160101,20160701,,,,36138000,,,building of a collecting system,,,absence of collecting system,NC
861,23209,SK5,SKA5040464,Kysucky Lieskovec,,16800000,185,20211201,20131201,20200101,,,,21000000,,,building of a collecting system,,,absence of collecting system,NC
862,23209,SK5,SKA3080380,Lednicke Rovne,,9000000,185,20201201,20171201,20190101,,,,10000000,,,building of a collecting system,,,absence of collecting system,NC
863,23209,SK5,SKA3080376,Lysa pod Makytou,,1600000,185,20201201,20000101,20000401,,,,4582940,,,building of a collecting system,,,absence of collecting system,NC
864,23209,SK5,SKA7010557,Malcov,,6677690,185,20181201,20151001,20160401,,,,7932980,,,building of a collecting system,,,,PD
865,23209,SK5,SKA8100645,Markusovce,,3174870,185,20211201,20190701,20200129,,,,3341970,,,building of a collecting system,,,absence of collecting system,NC
866,23209,SK5,SKA8060619,Milhost,,3302970,185,20180401,20160501,20160501,,,,3500000,,,building of a collecting system,,,absence of collecting system,NC
867,23209,SK5,SKA4030414,Mojmirovce,,0,N,20150701,20000501,20001101,,,,99170,,,building of a collecting system,,,absence of collecting system,NC
868,23209,SK5,SKA4040433,Mojzesovo,,7885000,185,20201201,20161231,20180101,,,,8300000,,,building of a collecting system,,,absence of collecting system,PD
869,23209,SK5,SKA3040332,Moravske Lieskove,investments aggregated for collecting system and WWTP,11767900,185,20180201,20141101,20150501,,,,12387200,,,building of a collecting system,,,,PD
871,23209,SK5,SKA3070357,Nedozery - Brezany,,11902800,185,20191201,20150901,20160901,,,,13225400,,,building of a collecting system,,,absence of collecting system,NC
872,23209,SK5,SKA6030527,Nemecka,,3678350,185,20200901,20160901,20170701,,,,4087050,,,building of a collecting system,,,absence of collecting system,NC
874,23209,SK5,SKA4010402,Nesvady,,15582900,185,20181201,20160601,20160901,,,,16803400,,,building of a collecting system,,,absence of collecting system,NC
875,23209,SK5,SKA3070348,Nitrianske Pravno,,4699030,185,20200601,20151101,20160901,,,,5221150,,,building of a collecting system,,,absence of collecting system,NC
870,23209,SK5,SKA5070489,Mutne,investments aggregated for agglomerations Mutne and Oravske Vesele,11900000,185,20211201,20181001,20200401,,,,14000000,,,building of a collecting system,,,,PD
873,23209,SK5,SKA3090319,Nemsova,"investments aggregated for agglomerations Dolna Suca, Horna Suca and Nemsova",29364800,185,20180630,20160701,20160701,,,,32627600,,,renewal of collecting system,,,obsolence of collecting system,NC
876,23209,SK5,SKA3070368,Nitrianske Rudno,,14040000,185,20211201,20170701,20180101,,,,15600000,,,building of a collecting system,,,absence of collecting system,NC
877,23209,SK5,SKA6120552,Nova Bana,,4536270,185,20200901,20160801,20170701,,,,5040300,,,building of a collecting system,,,absence of collecting system,NC
878,23209,SK5,SKA3070365,Novaky,,18993500,185,20200801,20160901,20170701,,,,21103900,,,building of a collecting system,,,absence of collecting system,NC
879,23209,SK5,SKA6110548,Ocova,investments aggregated for collecting system and WWTPs in agglomerations Ocova and Zvolenska Slatina,9885790,185,20201201,20090401,20160901,,,,10984200,,,building and renewal of a collecting system,,,,PD
880,23209,SK5,SKA2010245,Okoc,investments aggregated for collecting system and WWTP,11763500,185,20180901,20160701,20160901,,,,12382600,,,building of a collecting system,,,absence of collecting system,NC
881,23209,SK5,SKA5070488,Oravske Vesele,aggregated investments mentioned in agglomeration Mutne,0,185,20211201,20181001,20200401,,,,0,,,building of a collecting system,,,,PD
882,23209,SK5,SKA3070373,Oslany,investments aggregated for collecting system and WWTP,11650700,185,20201201,20160301,20160901,,,,12945200,,,building of a collecting system,,,absence of collecting system,NC
883,23209,SK5,SKA4040435,Palarikovo,,519477,185,20171201,20160101,20160701,,,,546817,,,building of a collecting system,,,absence of collecting system,NC
884,23209,SK5,SKA2020266,Pata,,4557900,185,20171201,20151101,20160701,,,,4760630,,,building of a collecting system,,,absence of collecting system,NC
885,23209,SK5,SKA3040329,Podolie,,5862610,185,20170601,20150701,20160101,,,,6171170,,,building of a collecting system,,,absence of collecting system,NC
886,23209,SK5,SKA6030525,Pohronska Polhora,investments aggregated for collecting system and WWTP,15300000,185,20180601,20160401,20160601,,,,16290800,,,building of a collecting system,,,,PD
887,23209,SK5,SKA4060450,Preselany,,0,N,20201001,20160101,20160301,,,,4935130,,,building of a collecting system,,,absence of collecting system,NC
888,23209,SK5,SKA4010398,Pribeta,,11400000,185,20201201,20161201,20170601,,,,12000000,,,building of a collecting system,,,absence of collecting system,NC
889,23209,SK5,SKA3020678,Pruske,investments aggregated for collecting system and WWTP,8465400,185,20191201,20161201,20180101,,,,9406000,,,building of a collecting system,,,absence of collecting system,NC
890,23209,SK5,SKA5110503,Rajecke Teplice,,7549760,185,20180901,20160201,20160701,,,,7947120,,,building of a collecting system,,,absence of collecting system,NC
891,23209,SK5,SKA8080639,Rochovce,,6731580,185,20180701,20160101,20160701,,,,7919500,,,building of a collecting system,,,,PD
892,23209,SK5,SKA8100646,Rudnany,,2032840,185,20211201,20190701,20200129,,,,2139830,,,building of a collecting system,,,absence of collecting system ,NC
1435,26865,RO05,ROAG_161311,Somova,,0,,20181231,20151231,20161231,4388,100,0,1,0,,Construction of sewerage network = 12 km,1,National and local budget,NR,PD
1443,26865,RO05,ROAG_161491,Valea Nucarilor,,0,,20181231,20151231,20161231,3266,100,0,3,0,,Construction of sewerage network = 20 km,3,National and local budget,NR,PD
1448,26865,RO05,ROAG_62459,Nicolae Bãlcescu,,0,,20181231,20151231,20161231,3066,100,0,4,0,,Construction of sewerage system = 27.42 km,4,National and local budget,NR,PD
893,23209,SK5,SKA3070349,Sebedrazie,investments aggregated for collecting system and WWTP,6995510,185,20191201,20140601,20160901,,,,7772790,,,building of a collecting system,,,absence of collecting system ,NC
894,23209,SK5,SKA7070582,Siroke,,0,185,20211201,20101229,20200129,,,,7000000,,,building of a collecting system,,,,PD
895,23209,SK5,SKA6110515,Sliac,,1194200,185,20211201,20190701,20200129,,,,1257050,,,building of a collecting system,,,absence of collecting system,NC
896,23209,SK5,SKA2020267,Soporna,,9902920,185,20180331,20151101,20160331,,,,10424100,,,building of a collecting system,,,absence of collecting system,NC
897,23209,SK5,SKA8110656,Streda nad Bodrogom,,6032220,185,20171201,20151001,20160301,,,,6702460,,,building of a collecting system,,,,PD
898,23209,SK5,SKA4040429,Strekov,,3708130,185,20211201,20190701,20200129,,,,3903300,,,building of a collecting system,,,absence of collecting system ,NC
899,23209,SK5,SKA2070308,Sucha nad Parnou,,0,N,20160801,20151001,20160401,,,,300000,,,building of a collecting system ,,,absence of collecting system and low rate of connection,NC
900,23209,SK5,SKA4010400,Svaty Peter,investments aggregated for collecting system and WWTP,9013930,185,20171201,20151101,20160601,,,,9488350,,,building of a collecting system,,,,PD
901,23209,SK5,SKA4040428,Svodin,,3200780,185,20211201,20190701,20200129,,,,3369240,,,building of a collecting system,,,,PD
902,23209,SK5,SKA4020407,Tekovske Luzany,,10468100,185,20170801,20150201,20160201,,,,11019100,,,building of a collecting system,,,absence of collecting system,NC
903,23209,SK5,SKA5110507,Terchova,,3238020,185,20211201,20190701,20200129,,,,3408440,,,building of a collecting system,,,absence of collecting system,NC
904,23209,SK5,SKA4020409,Tlmace,,5248800,185,20191201,20160501,20180101,,,,5832000,,,building of a collecting system,,,absence of collecting system,NC
905,23209,SK5,SKA2010250,Topolniky,,12375300,185,20190701,20160701,20160801,,,,13026600,,,building of a collecting system,,,absence of collecting system,NC
906,23209,SK5,SKA8070633,Trhoviste,,7081410,185,20171201,20151001,20160301,,,,7868230,,,building of a collecting system,,,,PD
907,23209,SK5,SKA5020107,Turzovka,,6921820,185,20211201,20190701,20200129,,,,7286120,,,building of a collecting system,,,absence of collecting system,NC
908,23209,SK5,SKA4040436,Tvrdosovce,,21643100,185,20201201,20151101,20170801,,,,22782200,,,building of a collecting system,,,absence of collecting system,NC
