Art17_FLAUWWTPID,ReportNetEnvelopeFileId,flatpComments,flatpEUFund,flatpEUFundName,flatpExpCapacity,flatpExpecDateCompletion,flatpExpecDatePerformance,flatpExpecDateStart,flatpExpecDateStartWork,flatpExpecTreatment,flatpExpLoad,flatpExpLoadTruck,flatpInv,flatpLoan,flatpLoanName,flatpMeasures,flatpOtherFund,flatpOtherFundName,flatpReasons,flatpStatus,repCode,uwwCode,uwwName
745,23209,,1000000,CF,6997,20211201,20221201,20181201,20190101,2,6462,,1100000,,,reconstruction of WWTP,,,obsolescence and hydraulic overloading,N,,SKCAO50404645092641,COV Kysucky Lieskovec
746,23209,Investments are mentioned in COV Kremnica,0,CF,6111,20201201,20211201,20160601,20160901,3NP,5513,,0,,,reconstruction of WWTP,,,obsolescence and not suitable technology of treatment WW,N,,SKS6130556,VK Kremnica
747,23209,Investments are mentioned in ÈOV Hronec,0,CF,2925,20201201,20211201,20160601,20160901,3N,4250,,0,,,reconstruction and intensification of WWTP,,,obsolescence and not suitable technology of treatment WW,N,,SKCAO60305305090861,COV Valaska
749,23209,investments aggregated for collecting system and WWTP in sheet FLAAgglomerations ,0,CF,10483,20180401,20190401,20140901,20160401,3NP,3350,,0,,,building of new WWTP,,,obsolescencent technology,N,,SKCAO81106525282931,COV Cierna nad Tisou
750,23209,investments aggregated for collecting system and WWTP in sheet FLAAgglomerations ,0,CF,12753,20180401,20190401,20140901,20160401,3NP,7000,,0,,,building of new WWTP,,,obsolescencent technology,N,,SKCAO81106555284471,COV Kralovsky Chlmec
751,23209,,5848840,CF ,6111,20201201,20211201,20160601,20160901,3NP,5513,,6498710,,,reconstruction of WWTP,,,obsolescence and not suitable technology of treatment WW,N,,SKCAO61308685817471,COV Horna Ves Kremnica
752,23209,WWTP with partial N removal (nitrification),0,N,3500,20160901,20170901,20160601,20160701,2,3500,,51000,,,intensification of WWTP,,,obsolescence,C,,SKCAO50807025108151,COV Lucky - Mockov
753,23209,WWTP with partial N removal (nitrification),0,N,4000,20201231,20211201,20181201,20190101,3N,2500,,1200000,,,reconstruction WWTP,,,increased overload,C,,SKCAO51004995096551,COV Habovka
755,23209,"UWWTP treats only WW addressed through IAS, ",0,N,4000,20161201,20171201,20121201,20160101,2,3739,,291452,,,reconstruction of WWTP,,,obsolescence,C,,SKCAO20202685041061,COV Trstice
756,23209,,7980000,CF,40690,20201201,20211201,20161201,20190101,3NP,18000,,8400000,,,intensification of WWTP,,,increased overload and obsolescence,C,,SKCAO10800195082171,COV Senec
757,23209, WWTP designed for a small part of the village and not for agglomeration,0,N,0,20161001,20171001,20151231,20160701,2,20800,,0,,,wastewater diverted to other  WWTP,,,improper design,C,,SKCAO30800605129401,COV Dohnany
761,23209,WWTP with partial N removal (nitrification),2251660,CF,15768,20191201,20201201,20161201,20170101,3NP,9650,,2501850,,,reconstruction of WWTP,,,low capacity of WWTP,C,,SKCAO40304115009331,COV Vrable
762,23209,high share of not adaptable population in agglomeration,223250,CF,1500,20211201,20221201,20141201,20200101,3N,2200,,235000,,,expanding of capacity WWTP,,,material and hydraulic overload of WWTP,C,,SKCAO70305635235261,COV Huncovce
764,23209,WWTP with partial N removal (nitrification),502000,CF,1200,20201201,20211201,20161201,20170101,2,7980,,591000,,,building of new WWTP,,,new requirements,C,,SKCAO61205525170971,COV Nova Bana
766,23209,,7020000,CF,10000,20191231,20201201,20161201,20170101,3N,8550,,7800000,,,reconstruction of WWTP,,,obsolescence,C,,SKCAO81006505432681,COV Krompachy
767,23209,,3150000,CF,3044,20191231,20201201,20151101,20170101,2,3300,,3500000,,,building of new WWTP,,,obsolescence,C,,SKCAO80106075434971,COV Prakovce
768,23209,,2070000,CF,3500,20191231,20201201,20160301,20170101,3N,9900,,2300000,,,intensification of WWTP,,,obsolescence,C,,SKCAO70605775601033,COV Strbske Pleso
9153,27444,,,,2400,,,,,,2400,,,,,Adeguamento impianto di depurazione esistente,,,Impianto non adeguato al carico in ingresso,N,,IT1300000010,Bucchianico
9174,27444,,,,2962,,,,,,2214,,,,,Costruzione di un nuovo impianto di depurazione,,,Impianto non adeguato al carico in ingresso,N,,IT13Q1500002,S. Giovanni
9184,27444,,,,1500,,,,,,1880,,,,,Adeguamento impianto di depurazione,,,Impianto non adeguato al carico in ingresso,N,,IT13Q1500026,Morino capoluogo
765,23209,,810000,CF,0,20181201,20191201,20161201,20170101,2,9900,,900000,,,wastewater diverted to other WWTP,,,not suitable constructional design,C,,SKCAO70605775601037,COV Tatranska Lomnica
769,23209,,3051000,CF,4875,20201201,20211201,20161201,20170101,3N,6500,,3589000,,,reconstruction of WWTP,,,obsolescence and not suitable technology of treatment WW,C,,SKCAO61205515173811,COV Zarnovica
770,23209,,3513000,CF,3150,20180901,20191201,20161201,20170301,3N,3300,,3903000,,,intensification of WWTP,,,obsolescencent technology,C,,SKCAO71205955191971,COV Giraltovce
771,23209,,0,N,25000,20191201,20201201,20161201,20170101,3NP,13500,,910000,,,reconstruction of WWTP,,own financial resources,low capacity of WWTP,C,,SKCAO20100255019051,COV Samorin
772,23209,,0,N,4655,20151201,20161201,20150101,20150201,3N,4900,,4650000,,,intensification of WWTP,,own financial resources,obsolescence,C,,SKCAO60705415117651,COV Poltar
773,23209,,0,N,3000,20211201,20221201,20151201,20190101,3N,2634,,462000,,,modernization and intensification of WWTP,,own financial resources,new requirements,C,,SKCAO80806385258711,COV Krasnohorske Podhradie
774,23209,,0,N,175104,20171231,20181231,20160101,20160601,3NP,205000,,0,,,reconstruction of WWTP,,own financial resources,new requirements,C,,SKCAO80502045990931,COV Koksov - Baksa
775,23209,"project in implementation, WWTP will be closed and waste water collected in WWTP Bytèa after project implementation ",0,0,0,20160630,20170601,20131201,20140901,2,19600,,0,,,WWTP closed,,,obsolescence,N,,SKCAO50100875176911,COV Kotesova
776,23209,,0,N,7321,20201201,20211201,20171201,20180101,3N,7321,,2000000,,,reconstruction of WWTP,,INFRAKOM s.r.o.,fulfilled/met,N,,SKCAO40404315032821,COV Komjatice
777,23209,,0,N,5500,20171201,20181201,20061201,20170401,3N,12200,,650520,,,reconstruction of WWTP,,,increased overload,N,,SKCAO80602195212991,COV Cana
778,23209,"WWTP in testing operation, WWTP cosntructed of 3500 EO",0,N,3500,20181201,20191201,20161201,20170101,3N,6124,,815736,,,expanding of WWTP,,,increased overload,N,,SKCAO40604505429711,COV Hrusovany
779,23209,,0,N,3840,20170601,20180601,20160601,20161101,2,3764,,282989,,,intensification of WWTP,,,increased overload,N,,SKCAO40104015012391,COV Marcelova
780,23209,,846000,CF,1170,20211201,20221201,20160601,20160901,3N,4668,,940000,,,building of new WWTP,,,absence of WWTP,N,,SKCAO30703685141441,COV Liestany
781,23209,,2574000,CF,2355,20211201,20221201,20160601,20160901,3N,4668,,2860000,,,building of new WWTP,,,absence of WWTP,N,,SKCAO30703685142331,COV Nitrianske Rudno
782,23209,investments aggregated for collecting system and WWTP in sheet FLAAgglomerations ,0,CF,4500,20181231,20190401,20160831,20170401,3N,3577,,0,,,building of new WWTP,,,absence of WWTP,N,,SKCAO81006475435941,COV Spisske Vlachy
788,23209,,977714,CF,3600,20181201,20191201,20160601,20170101,2,3329,,1029170,,,building of new WWTP,,,absence of WWTP,N,,SKCAO81006435264361,COV Bystrany
790,23209,#NEDOSTUPNÝ,972020,CF,638,20200601,20210601,20161201,20170601,3N,4060,,1080020,,,building of new WWTP,,,absence of WWTP,N,,SKCAO61305545167411,COV Dolna Zdana
791,23209,,1259100,CF,2330,20211201,20221201,20181231,20200101,3N,6124,,1399000,,,building of new WWTP,,,absence of WWTP,N,,SKCAO40604505562621,COV Dvorany nad Nitrou
793,23209,project submitted,5994000,CF,13750,20191201,20201201,20161201,20170101,3NP,10632,,6660000,,,building of new WWTP,,,absence of WWTP,N,,SKCAO40100685012041,COV Kolarovo
728,23209,,2200000,CF,4200,20211201,20221201,20181201,20190101,2,4200,,2500000,,,building of new WWTP,,,new requirements,N,,SKCAO30603445137412,COV Udica I
729,23209,investments aggregated for collecting system and WWTP in sheet FLAAgglomerations ,0,CF,3550,20171201,20181201,20160601,20160701,3N,3400,,0,,,expanding of WWTP,,,new requirements,N,,SKCAO20402835077251,COV Vesele
730,23209,,4460490,CF,13000,20171201,20181201,20151231,20160901,3NP,2936,,4695250,,,intensification of WWTP,,,not suitable constructional design,N,,SKCAO10602315078901,COV Gajary
731,23209,,2250000,CF,4500,20211201,20221201,20181201,20190101,2,3900,,2500000,,,reconstruction of WWTP,,,not suitable constructional design,N,,SKCAO81006465435191,COV Rudnany
732,23209,UWWTP treats only WW addressed through IAS,1812390,CF,3200,20180201,20190201,20160101,20160301,3N,2860,,1907720,,,reconstruction and increasing of capacity WWTP,,,not suitable constructional design,N,,SKCAO40204075028211,COV Tekovske Luzany
733,23209,investments aggregated for collecting system and WWTP in sheet FLAAgglomerations ,0,CF,2200,20201201,20211201,20151201,20160901,3N,4100,,0,,,building of new WWTP,,,obsolescence,N,,SKCAO30703735139461,COV Cerenany
734,23209,,1347710,CF,3200,20170201,20181201,20151101,20160101,3N,2400,,1400420,,,reconstruction and modernization of WWTP,,,obsolescence,N,,SKCAO70605705235181,COV Hranovnica
735,23209,WWTP with partial N removal (nitrification),4163390,CF,7800,20190901,20201201,20160601,20160901,3N,9850,,4624560,,,reconstruction of WWTP,,,obsolescence,N,,SKCAO60405325184681,COV Hrinova
736,23209,,7973260,CF,24557,20191231,20201201,20151207,20170101,3NP,21638,,9874000,,,intensification of WWTP,,,obsolescence,N,,SKCAO50201005092481,COV Krasno nad Kysucou
737,23209,"investments aggregated for collecting system and WWTP in sheet FLAAgglomerations, WWTP with partial N removal (nitrification)",0,CF,4500,20201201,20211201,20160601,20160901,3N,3920,,0,,,reconstruction of WWTP,,,obsolescence,N,,SKCAO30703605141361,COV Lehota pod Vtacnikom
738,23209,,5679450,CF,19500,20171231,20171231,20151231,20160701,3NP,8870,,6310500,,,intensification of WWTP,,,obsolescence,N,,SKCAO30903195062811,COV Nemsova
739,23209,Investments are mentioned in  ÈOV Èereòany,0,CF,2200,20201201,20211201,20151201,20160901,3N,4100,,0,,,building of new WWTP,,,obsolescence,N,,SKCAO30703735142921,COV Oslany 
740,23209,Investments are mentioned in ÈOV Èereòany,0,CF,2200,20201201,20211201,20151201,20160901,3N,4100,,0,,,building of new WWTP,,,obsolescence,N,,SKCAO30703735142922,COV Oslany - Druzstevna
741,23209,Investments are mentioned in  Èereòany,0,CF,2200,20201201,20211201,20151201,20160901,3N,4100,,0,,,building of new WWTP,,,obsolescence,N,,SKCAO30703735142923,COV Oslany - Pekarenska
742,23209,Investments are mentioned in  ÈOV Èereòany,0,CF,2200,20201201,20211201,20151201,20160901,3N,4100,,0,,,building of new WWTP,,,obsolescence,N,,SKCAO30703735142924,COV Oslany - Skolska
748,23209,,7563000,CF,24952,20201201,20211201,20151001,20170301,3NP,17940,,8898000,,,building of new WWTP,,,obsolescencent,N,,SKCAO80802255255291,COV Roznava
754,23209,,0,N,4300,20171201,20181201,20161201,20170101,3N,3820,,400000,,,reconstruction of WWTP,,,new requirements,C,,SKCAO30403315059011,COV Cachtice
758,23209,,0,N,51314,20141230,20151201,20130101,20130612,3NP,485000,,4985850,,,reconstruction of WWTP,,,increased overload,C,,SKCAO10200015293711,COV Devinska Nova Ves
11418,23182,,,,5100,20171231,20181231,,20161231,2,5100,,0,,,nouvelle station + travaux sur réseaux et DO,,,obsolescence et augmentation de la charge,N,,FR060938247001,MONTALIEU-VERCIEU
11419,23182,,,,2500,20150430,20160430,20120701,20140519,2,2000,,670900,,,Travaux de réhabilitation commencés,,,Surcharges hydraulique et organique. Pas d'autosurveillance sur le DO en tête de station,C,,FR0531390V001,MONTREJEAU
11420,23182,,,,13000,20141231,20151231,,,3NP,7500,,0,,,Actions auprès des industriels (ICPE),,,Rejets indaptés dans le réseau par des ICPE,C,,FR0449215S0006,MONTREUIL- BELLAY Presle
11421,23182,,6284750,FEDER,12500,20131101,20141231,20110217,20120201,3NP,5500,,10500000,,,Création d'une nouvelle station,,,STEU non conforme,C,,FR079711700002,Moule station de Sergent bourg
11422,23182,,,,10000,20201231,20211231,,20161231,3NP,8000,,0,,,études sur le réseau problématique eaux claires parasites,,,Mauvaises performances et surcharge hydraulique,N,,FR0564410V002,MOURENX VILLE NOUVELLE 2
11424,23182,,,,4000,20140601,20151231,,20130101,2,5500,,0,,,Equipement autosurveillance déversoir en tête de station.,,,Absence dautosurveillage du déversoir de tête et non-conformité temps de pluie : P95 des débits à 1000m3/j pour un Qref de 600 m3/j.,N,,FR0524309V002,NEUVIC sur L'ISLE
11426,23182,,,,5850,20171231,20181231,,,3NP,2646,,0,,,Courrier Agence de leau Loire-Bretagne juin 2015 à la collectivité,,,Non conforme en performance et déversements en tête de station,N,,FR0479017S0001,NUEIL LES AUBIERS
11428,23182,,,,9300,20160630,20170630,20100801,20131231,3m,4000,,6358500,,,Construction dune nouvelle STEU,,,Obsolescence et dimensionnement inadapté,N,,FR060920198001,OTA PORTO
11431,23182,,,,32000,20181231,20191231,,,3N,10000,,0,,,Raccordement sur autre STEU,,,Fonctionnement défectueux en Azote et surcharge de la station,N,,FR060974209001,PEILLONNEX
11432,23182,,,,32000,20190630,20200630,,20131231,3NPm,16500,,0,,,Programme de travaux demandé pour le 30/06/2014 par arrêté de mise en demeure du Préfet du 14/01/2014,,,Intrusions massives deau de mer et pluviales dans les réseaux + by-pass,N,,FR0422168S0002,PERROS-GUIREC
11433,23182,,,non,45000,20181231,20191231,20160102,20170201,3NP,45000,,14000000,,,création dune nouvelle station dépuration,,,sous dimensionnement hydraulique et organique,N,,FR060984089001,Pertuis ville
10617,27444,,,,,,,,,3,,,,,,,,,,,,IT18Q90000002624,Altomonte  -  Centro  S.Elia
10899,27444,,70,FESR 2014/2020,4200,,,,,2,3920,,470454,,,Adeguamento impianto di depurazione,,,Assenza di trattamento secondario,N,,IT19AG00G0059DE001,IMPIANTO VIA C MARX
11012,27444,,70,FESR 2014/2020,,,,,,,,,,,,,,,,N,,IT19ME00G0076DE002,IMPIANTO COPPOLA
11062,27444,,,,,,,,,3,,,,,,,,,,,,IT18Q90000002967,Catanzaro  -  Rete
11075,27444,,,,,,,,,3,,,,,,,,,,,,IT18Q15000002958,Conflenti - San Mazzeo Costa 
712,23209,"investments aggregated for collecting system and WWTP in sheet FLAAgglomerations, WWTP with partial N removal (nitrification)",0,CF,5160,20180301,20190301,20151201,20160401,3N,4900,,0,,,reconstruction of WWTP,,,low capacity of WWTP,N,,SKCAO40404215031771,COV Dvory nad Zitavou
713,23209,WWTP with partial N removal (nitrification),23400000,CF,85000,20191201,20201201,20161201,20170101,3NP,55000,,26000000,,,reconstruction of WWTP,,,low capacity of WWTP,N,,SKCAO40200705020311,COV Gena
714,23209,WWTP constructed for 4000 EO ,285000,CF,4500,20211201,20221201,20161201,20200101,3N,4500,,300000,,,expanding of capacity WWTP,,,low capacity of WWTP,N,,SKCAO70305645236231,COV Lendak
715,23209,,900000,CF,3000,20191201,20201201,20161201,20170501,2,3500,,1000000,,,wastewater diverted to other WWTP,,,low capacity of WWTP,N,,SKCAO81006455433312,COV Markusovce - Jarecek
716,23209,Aggregated investments for COV Nemecka and COV Predajna,2500000,CF,1840,20191201,20201201,20161201,20170101,3N,4361,,2950000,,,building of new WWTP,,,low capacity of WWTP,N,,SKCAO60305275088291,COV Nemecka
717,23209,Investments are mentioned in  COV Nemecka,0,CF,1840,20191201,20201201,20161201,20170101,3N,4361,,0,,,building of new WWTP,,,low capacity of WWTP,N,,SKS6030527,VK Nemecka
718,23209,WWTP with partial N removal (nitrification),1772070,CF,7500,20181201,20191201,20151201,20160301,3N,5100,,1865340,,,reconstruction of WWTP,,,low capacity of WWTP,N,,SKCAO40104025012801,COV Nesvady
719,23209,WWTP with partial N removal (nitrification),7200000,CF,30864,20170601,20180601,20151001,20151101,3NP,32500,,8000000,,,reconstruction of WWTP,,,low capacity of WWTP,N,,SKCAO30500475053151,COV Partizanske
720,23209,,4230000,CF,6280,20191201,20201201,20161201,20170101,3NP,4220,,4700000,,,building of new WWTP,,,low capacity of WWTP,N,,SKCAO40204095028631,COV Tlmace
721,23209,,18000000,CF,58386,20170601,20180601,20151201,20161001,3NP,31900,,20000000,,,reconstruction of WWTP,,,low capacity of WWTP,N,,SKCAO40600815049981,COV Topolcany
722,23209,"investments aggregated for collecting system and WWTP in sheet FLAAgglomerations, WWTP with partial N removal (nitrification)",0,CF,31700,20151201,20161201,20150601,20150701,3NP,20800,,0,,,reconstruction of WWTP,,,low capacity of WWTP,N,,SKCAO40700845009681,COV Zlate Moravce
723,23209,WWTP with partial N removal (nitrification),3330000,CF,8500,20191201,20201201,20161201,20170101,3NP,5100,,3700000,,,reconstruction of WWTP,,,low capacity of WWTP and absence of removal P/N,N,,SKCAO20102485015731,COV Gabcikovo
724,23209,Investments are mentioned in COV Udica,0,CF,4200,20211201,20221201,20181201,20190101,2,4200,,0,,,building of new WWTP,,,new requirements,N,,SKCAO30603445129661,COV Dolna Marikova
725,23209,"investments aggregated for collecting system and WWTP in sheet FLAAgglomerations,UWWTP treats only WW addressed through IAC",0,CF,4000,20200401,20210401,20150501,20160501,3N,3631,,0,,,intensification of WWTP,,,new requirements,N,,SKCAO20102455018241,COV Okoc
726,23209,,1350000,CF,3500,20211201,20221201,20181201,20190101,2,2950,,1500000,,,completion and intensification of WWTP,,,new requirements,N,,SKCAO71005945269751,COV Podolinec
760,23209,,4675000,CF,6289,20190901,20200901,20160701,20170401,3NP,3430,,5500000,,,building of new WWTP,,,low capacity of WWTP,C,,SKCAO80706325231011,COV Strazske
763,23209,,900000,CF,5000,20201201,20211201,20180601,20180901,2,5100,,1000000,,,reconstruction of WWTP,,,obsolescence,C,,SKCAO30803805133261,COV Lednicke Rovne
11461,23182,,,,7500,20180601,20191231,,20141231,3NP,6000,,0,,,Station et réseaux,,,"augmentation de la charge polluante, eaux claires parasites et exigences DCE",N,,FR060938399001,SAINT-JEAN-DE-BOURNAY
11462,23182,,,,98000,20181231,20191231,,20150704,2,99500,,0,,,Détection des entrées d'eau de mer à l'origine des déversements au niveau du DO de la step d'Archilua et réalisation de bassins de stockage sur le réseau,,,mauvaises performances + entrées d'eau de mer,N,,FR0564545V005,SAINT-JEAN-DE-LUZ ARCHILUA
11465,23182,,4500000,FEDER /ONEMA,18500,20151030,20161030,20091023,20130902,2,18333,,12800000,,,Construction d'une station,,,Absence de système de traitement (station),N,,FR109741200001,SAINT-JOSEPH-REUNION
11466,23182,,,,2500,20151201,20161201,,20141201,3P,2100,,0,,,diagnostic réseau + programme de travaux,,,surcharge hydraulique chronique due à lobsolescence du réseau de collecte,N,,FR0458250S0001,SAINT-LEGER-DES-VIGNES
11467,23182,,3620000,FEDER /ONEMA,26000,20160630,20170731,20080820,20140616,3NP,18000,,8600000,,,Construction d'une nouvelle station,,,nouvelles exigences et augmentation de la charge,N,,FR109741300001,SAINT-LEU
11468,23182,,6070000,FEDER /ONEMA,50600,20150630,20160731,20131118,20130621,3NP,50600,,17300000,,,"Extension de la capacité réelle de traitement,amélioration traitement, appareillage dautosurveillance et amélioration prétraitement effluents industriels",,,sous dimmensionnement - mauvaises performances - rejet industriel (sucrerie),N,,FR109741400001,SAINT-LOUIS STEP DU GOL
11469,23182,,,,5850,20161031,20171231,,20151201,3NP,5786,,90000,,,"Remplacement Prétraitements , étude pour nouvelle STEU avec traitement tertiaire.",,,Autosurveillance non règlementaire/obsolescence/ rejet direct temps sec,N,,FR060970467001,SAINT-LOUP-SUR-SEMOUSE
11470,23182,,,,75000,20130822,20140822,,,3NPm,5000,,0,,,travaux de raccordement sur une autre station,,,dimensionnement inadapté,C,,FR0444103S0004,SAINT-MALO-DE-GUERSAC-La Petite Brière
11471,23182,,,,14600,20141231,20151231,,20131231,3NP,1200,,0,,,raccordement sur une autre station,,,obsolescence/ exigences DCE/eaux claires parasites,N,,FR060938130003,SAINT-SIMEON-DE-BRESSIEUX
11472,23182,,,,20000,20140630,20141231,20120515,20140407,3NP,20000,,25000,,,Mise en place d'un traitement physico-chimique pour le Phosphore.,,,traitement plus strict,C,,FR0417360S0001,SAINTE MARIE DE RE
11473,23182,,,non,3000,20140930,20151231,,20140501,2,3000,,0,,,mise en place dune filière boue et nouvelle exploitation,,,"autosurveillance insuffisante, filière boue inadaptée, problème dexploitation.",N,,FR060904197001,SAINTE TULLE Moulins
11089,27444,,,,,,,,,3,,,,,,,,,,,,IT18Q15200000040,Crucoli - rete Rione Scaccera
11105,27444,,,,,,,,,3,,,,,,,,,,,,IT18Q13000000016,Gerocarne - Fago
11123,27444,,,,,,,,,3,,,,,,,,,,,,IT18Q90000002685,Lago - Rete
11135,27444,,,,,,,,,3,,,,,,,,,,,,IT18Q90000002712,Mandatoriccio - Frattumieri
11148,27444,,,,,,,,,3,,,,,,,,,,,,IT18Q90000002724,Mottafollone - Rete
11160,27444,,,,,,,,,3,,,,,,,,,,,,IT18Q90000003000,Petilia Policastro - Rete
11175,27444,,,,,,,,,3,,,,,,,,,,,,IT18Q13000000026,Polia - Rete  Trecroci1
11188,27444,,,,,,,,,3,,,,,,,,,,,,IT18Q90000002773,Rossano - Amica
11202,27444,,,,,,,,,3,,,,,,,,,,,,IT18Q90000003051,San Nicola da Crissa – Rete
11217,27444,,,,,,,,,3,,,,,,,,,,,,IT18Q13000000046,Scandale - Circonvallazione  Bellavista
11236,27444,,,,,,,,,3,,,,,,,,,,,,IT18Q90000003198,Stilo - Caldarella
11250,27444,,,,,,,,,3,,,,,,,,,,,,IT18Q15000000050,Verzino - rete Tammena
11297,23182,,,,35000,20190711,20200712,,,3P,30000,,0,,,Raccordement sur autre STEU,,,"STEU sous dimensionnée, mauvaises performances",N,,FR080000497209,ACAJOU
11298,23182,,,,4166,20171231,20181231,,,3NP,6365,,0,,,Courrier Agence de leau Loire-Bretagne juin 2015 à la collectivité,,,NC en performance. Déversements en tête de station.,N,,FR0479003S0001,AIFFRES BOURG
11299,23182,,,,1200,20151231,20161231,20140508,20141020,2,1200,,0,,,Mise en place dun pré-traitement pour effluents industriels,,,Mauvaises performances,N,,FR0532001V001,AIGNAN
11300,23182,,,,4500,20151231,20161231,,,2,4500,,0,,,réhabilitation de la station,,,mauvaises performances et eaux claires parasites,N,,FR060973004001,AILLON LE JEUNE
11301,23182,,,,60000,20140325,20160201,20100401,20120901,3m,45000,,11800000,,,Construction dune STEU à Campo dellOro et reconstruction de la STEU des Sanguinaires,,,Obsolescence / dimensionnement inadapté,N,,FR060920004001,Ajaccio Sanguinaires
11302,23182,,,,33000,20141231,20151231,,,2,45000,,0,,,"diagnostic réseau, programme pluriannuel travaux réseaux et audit sur station. Modélisation nécessaire pour affiner le programme de travaux à réaliser sur le réseau.",,,mauvaises performances et surcharge hydraulique,N,,FR060901089002,AMBERIEU-EN-BUGEY - Chateau Gaillard
11303,23182,,,,2200,20171231,20181231,20161231,,2,2900,,210000,,,mise en place dun tambour filtrant  et diagnostic réseau,,,mauvaises performances - eaux claires parasites,N,,FR0565007V003,ANDREST
11304,23182,,,,9500,20140901,20151215,,20121112,2,9500,,2693810,,,traitement biologique,,,nouvelles exigences (traitement plus strict),C,,FR060920020001,AREGNO
11305,23182,,,,,20151231,20161231,,20140601,3P,85000,,12739000,,,Travaux sur réseau + Extension et mise aux normes de la station (station belge),,,Problème deaux claires parasites + intrusion cours deau dans les réseaux. Station et rejet en belgique (arrêté « belge » en cours),C,,FR010761600000,ARMENTIERES (belgique)
