uwwState,rptMStateKey,uwwCode,uwwName,uwwBODIncoming,uwwCODIncoming,uwwNIncoming,uwwPIncoming,uwwBODDischarge,uwwCODDischarge,uwwNDischarge,uwwPDischarge,QAflag,Remark
1,AT,ATTP_1-00000001,Andau,,,,,,,,, , 
1,AT,ATTP_1-00000005,Deutschkreuz (Mittleres Burgenland) Goldbachtal,,,,,,,,, , 
1,AT,ATTP_1-00000006,Deutsch Schützen (Deutsch Schützen - Höll),,,,,,,,, , 
1,AT,ATTP_1-00000010,Eisenstadt (Eisbachtal),,,,,,,,, , 
1,AT,ATTP_1-00000013,Frauenkirchen,,,,,,,,, , 
1,AT,ATTP_1-00000015,Gattendorf (Gattendorf-Neudorf),,,,,,,,, , 
1,AT,ATTP_1-00000016,Gols (Gols - Mönchhof),,,,,,,,, , 
1,AT,ATTP_1-00000018,"Großwarasdorf, Nebersdorf, Langental",,,,,,,,, , 
1,AT,ATTP_1-00000020,Heiligenbrunn,,,,,,,,, , 
1,AT,ATTP_1-00000027,Jois,,,,,,,,, , 
1,AT,ATTP_1-00000030,Klostermarienberg (Lockenhaus) Günstal,,,,,,,,, , 
1,AT,ATTP_1-00000036,Mischendorf,,,,,,,,, , 
1,AT,ATTP_1-00000040,Neufeld (Neufelderseengebiet),,,,,,,,, , 
1,AT,ATTP_1-00000042,Nikitsch,,,,,,,,, , 
1,AT,ATTP_1-00000044,Oberpullendorf (Mittleres Burgenland) Stooberbachtal,,,,,,,,, , 
1,AT,ATTP_1-00000050,Riedlingsdorf (Oberes Pinkatal),,,,,,,,, , 
1,AT,ATTP_1-00000051,Podersdorf,,,,,,,,, , 
1,AT,ATTP_1-00000055,Rechnitz,,,,,,,,, , 
1,AT,ATTP_1-00000057,Siget / Wart (Mittleres Pinka- und Zickenbachtal),,,,,,,,, , 
1,AT,ATTP_1-00000060,Schandorf - Schachendorf,,,,,,,,, , 
1,AT,ATTP_1-00000061,Schattendorf,,,,,,,,, , 
1,AT,ATTP_1-00000064,Bocksdorf (Oberes Stremtal),,,,,,,,, , 
1,AT,ATTP_1-00000066,St.Andrä,,,,,,,,, , 
1,AT,ATTP_1-00000074,Wulkaprodersdorf (Wulkatal),,,,,,,,, , 
1,AT,ATTP_1-00000077,Pamhagen (Seewinkel),,,,,,,,, , 
1,AT,ATTP_1-00000078,Nickelsdorf (Nickelsdorf - Zurndorf),,,,,,,,, , 
1,AT,ATTP_1-00000079,Glasing (Mittleres Strem- und Zickenbachtal),,,,,,,,, , 
1,AT,ATTP_1-00000081,Wolfau (Stögersbachtal),,,,,,,,, , 
1,AT,ATTP_1-00000093,Lutzmannsburg (Lutzmannsburg - Frankenau),,,,,,,,, , 
1,AT,ATTP_1-00000097,Neumarkt (Tauchental),,,,,,,,, , 
1,AT,ATTP_1-00000103,Burg (Tauchental),,,,,,,,, , 
1,AT,ATTP_1-00000110,Tadten,,,,,,,,, , 
1,AT,ATTP_1-00000111,Kleinzicken (Tauchental),,,,,,,,, , 
1,AT,ATTP_1-00000112,Halbturn,,,,,,,,, , 
1,AT,ATTP_1-00000133,Heiligenkreuz/Lafnitztal (Bez.Jennersdorf) Lafnitztal-Raabtal,,,,,,,,, , 
1,AT,ATTP_1-00000145,Schützen (Neusiedlersee-Westufer),,,,,,,,, , 
1,AT,ATTP_1-00000153,"Hochneukirchen, Harmannsdorf, Züggen, Kirchschlagl, Maltern, Offenegg",,,,,,,,, , 
1,AT,ATTP_1-W1,Wimpassing/Leitha,,,,,,,,, , 
1,AT,ATTP_2-K1518811R0,WV Abwasserverband Völkermarkt-Jaunfeld (Eberndorf),,,,,,,,, , 
1,AT,ATTP_2-K1543752R0,ABKM ABKM-Abwasserbeseitigung Kötschach-Mauthen Errichtung und Betriebsgesellschaft,,,,,,,,, , 
1,AT,ATTP_2-K1608259R0,Marktgemeinde Hüttenberg,,,,,,,,, , 
1,AT,ATTP_2-K1610301R0,WV Abwasserverband Raum Friesach-Althofen,,,,,,,,, , 
1,AT,ATTP_2-K1610676R0,Reinhalteverband für das Gebiet St. Veit/Glan,,,,,,,,, , 
1,AT,ATTP_2-K1620535R0,WV Reinhalteverband Mölltal,,,,,,,,, , 
1,AT,ATTP_2-K1639918R0,Gemeinde Heiligenblut,,,,,,,,, , 
1,AT,ATTP_2-K1669675R0,Gemeinde Ferndorf,,,,,,,,, , 
1,AT,ATTP_2-K1672421R0,Marktgemeinde Eisenkappel-Vellach,,,,,,,,, , 
1,AT,ATTP_2-K1679698R0,Marktgemeinde Griffen,,,,,,,,, , 
1,AT,ATTP_2-K1702940R0,Reinhalteverband "Mittleres Lavanttal",,,,,,,,, , 
1,AT,ATTP_2-K1702958R0,Abwasserverband "Oberes Lavanttal",,,,,,,,, , 
1,AT,ATTP_2-K1720229R0,Gemeinde Albeck,,,,,,,,, , 
1,AT,ATTP_2-K1750774R0,Gemeinde St. Kanzian am Klopeinersee,,,,,,,,, , 
1,AT,ATTP_2-K1756402R0,Gemeinde Krems in Kärnten,,,,,,,,, , 
1,AT,ATTP_2-K1762568R0,Marktgemeinde Winklern,,,,,,,,, , 
1,AT,ATTP_2-K1822227R0,Wasserverband Unteres Drautal,,,,,,,,, , 
1,AT,ATTP_2-K1822657R0,WV Abwasserverband Völkermarkt-Jaunfeld (Tainach),,,,,,,,, , 
1,AT,ATTP_2-K1842816R0,Marktgemeinde Lavamünd,,,,,,,,, , 
1,AT,ATTP_2-K1843518R0,ABUG-Abwasserbeseitigung Unteres Gailtal Errichtungs- und Betriebsgesellschaft,,,,,,,,, , 
1,AT,ATTP_2-K1859107R0,Gemeinde Gallizien,,,,,,,,, , 
1,AT,ATTP_2-K1928170,Gemeinde Ruden,,,,,,,,, , 
1,AT,ATTP_2-K1931629,Wasserverband Wörthersee Ost,,,,,,,,, , 
1,AT,ATTP_2-K1933251,Gemeinde Irschen,,,,,,,,, , 
1,AT,ATTP_2-K1933309,Gemeinde Großkirchheim,,,,,,,,, , 
1,AT,ATTP_2-K1933909,Gemeinde Poggersdorf,,,,,,,,, , 
1,AT,ATTP_2-K1939137,WV Ossiacher See,,,,,,,,, , 
1,AT,ATTP_2-K1939997,Stadtgemeinde Villach,,,,,,,,, , 
1,AT,ATTP_2-K1943810,Gemeinde Rennweg,,,,,,,,, , 
1,AT,ATTP_2-K1944050,Abwasserverband Wörthersee West,,,,,,,,, , 
1,AT,ATTP_2-K1949374,WV Millstätter See,,,,,,,,, , 
1,AT,ATTP_2-K1949430,Abwasserverband Karnische Region,,,,,,,,, , 
1,AT,ATTP_2-K1950728,Gemeinde Feitritz i.R.,,,,,,,,, , 
1,AT,ATTP_2-K1950736,Stadtgemeinde Ferlach,,,,,,,,, , 
1,AT,ATTP_2-K1950740,Marktgemeinde Grafenstein,,,,,,,,, , 
1,AT,ATTP_2-K1950745,Gemeinde Ludmannsdorf,,,,,,,,, , 
1,AT,ATTP_2-K2307771,WV Abwasserverband Görtschitztal,,,,,,,,, , 
1,AT,ATTP_2-K2391503,Gemeinde Dellach/Gemeinde Berg,,,,,,,,, , 
1,AT,ATTP_2-K2391520,Marktgemeinde Steinfeld und Greifenburg/Gemeinde Weißensee,,,,,,,,, , 
1,AT,ATTP_3-2,ARA GAV Fischatal 1876 WU,,,,,,,,, , 
1,AT,ATTP_3-3,ARA Melk 159 ME,,,,,,,,, , 
1,AT,ATTP_3-6,ARA Abwasserverband Ybbsfeld 2726 ME,,,,,,,,, , 
1,AT,ATTP_3-7,ARA GV Abwasserreinigung im südlichen Waldviertel 2724 ME,,,,,,,,, , 
1,AT,ATTP_3-9,ARA Stetten 1110 KO,,,,,,,,, , 
1,AT,ATTP_3-10,ARA Hollabrunn 155 HL,,,,,,,,, , 
1,AT,ATTP_3-11,ARA AV Schwechat 1972 WU,,,,,,,,, , 
1,AT,ATTP_3-15,ARA Gresten 1365 SB,,,,,,,,, , 
1,AT,ATTP_3-18,ARA Litschau 2069 GD,,,,,,,,, , 
1,AT,ATTP_3-25,ARA GAV Ebenfurth-Pottendorf BN,,,,,,,,, , 
1,AT,ATTP_3-29,ARA Baden 197 BN,,,,,,,,, , 
1,AT,ATTP_3-32,ARA Klosterneuburg 938 WU,,,,,,,,, , 
1,AT,ATTP_3-34,ARA GV Abwasserbeseitigung Raum Bad Vöslau 2900 BN,,,,,,,,, , 
1,AT,ATTP_3-36,ARA Ebreichsdorf 1906 BN,,,,,,,,, , 
1,AT,ATTP_3-37,ARA Moosbrunn 351 WU,,,,,,,,, , 
1,AT,ATTP_3-38,ARA Traiskirchen 1582 BN,,,,,,,,, , 
1,AT,ATTP_3-42,ARA Pyhra 2165 PL ABA,,,,,,,,, , 
1,AT,ATTP_3-43,ARA GAV Trumau-Schönau 2500 BN,,,,,,,,, , 
1,AT,ATTP_3-44,ARA Karlstetten 1901 PL,,,,,,,,, , 
1,AT,ATTP_3-45,ARA Loosdorf 2010 ME,,,,,,,,, , 
1,AT,ATTP_3-46,ARA Pöggstall 2511 ME,,,,,,,,, , 
1,AT,ATTP_3-47,ARA AV An der Traisen 2550 PL,,,,,,,,, , 
1,AT,ATTP_3-49,ARA Himberg 1948 WU,,,,,,,,, , 
1,AT,ATTP_3-51,ARA GV Abwasserbeseitigung Raum Pöchlarn 2840 ME,,,,,,,,, , 
1,AT,ATTP_3-52,ARA AV Anzbach-Laabental 2531 PL,,,,,,,,, , 
1,AT,ATTP_3-55,ARA Wiental-Sammelkanal GmbH 901 WU,,,,,,,,, , 
1,AT,ATTP_3-58,ARA Emmersdorf 2480 ME,,,,,,,,, , 
1,AT,ATTP_3-61,ARA Gablitz 831 WU,,,,,,,,, , 
1,AT,ATTP_3-63,ARA Seibersdorf 1832 BN,,,,,,,,, , 
1,AT,ATTP_3-65,ARA GAV Ennsdorf-St.Pantaleon 3034 AM,,,,,,,,, , 
1,AT,ATTP_3-67,ARA Großkrut 2112 MI,,,,,,,,, , 
1,AT,ATTP_3-70,ARA Prottes 1241 GF,,,,,,,,, , 
1,AT,ATTP_3-71,ARA Hohenau a.d. March 330 GF,,,,,,,,, , 
1,AT,ATTP_3-72,ARA Zistersdorf 1187 GF,,,,,,,,, , 
1,AT,ATTP_3-77,ARA Gänserndorf 320 GF,,,,,,,,, , 
0,AT,ATTP_3-79,ARA Absdorf 641 TU,,,,,,,,, , 
1,AT,ATTP_3-80,ARA Lunz am See 1605 SB,,,,,,,,, , 
1,AT,ATTP_3-81,ARA Retz 1131 HL,,,,,,,,, , 
1,AT,ATTP_3-84,ARA Mank 2593 ME,,,,,,,,, , 
1,AT,ATTP_3-87,ARA Oberndorf an der Melk 1469 SB,,,,,,,,, , 
1,AT,ATTP_3-88,ARA Weitra 194 GD,,,,,,,,, , 
1,AT,ATTP_3-89,ARA Sooß 1524 BN,,,,,,,,, , 
1,AT,ATTP_3-91,ARA GAV Retzbach - Retz 1355 HL,,,,,,,,, , 
1,AT,ATTP_3-92,ARA AV Raum Hainburg 1177 BL,,,,,,,,, , 
1,AT,ATTP_3-99,ARA GAV Raum Großkadolz 1260 HL,,,,,,,,, , 
1,AT,ATTP_3-104,ARA GAV Amstetten 3030 AM,,,,,,,,, , 
1,AT,ATTP_3-105,ARA GAV Raum St. Andrä-Wördern 1103 TU,,,,,,,,, , 
1,AT,ATTP_3-106,ARA GAV Wagram - West 1140 TU,,,,,,,,, , 
1,AT,ATTP_3-107,ARA Atzenbrugg 1379 TU,,,,,,,,, , 
1,AT,ATTP_3-108,ARA GAV Wieselburg 1639 SB,,,,,,,,, , 
1,AT,ATTP_3-109,ARA Haag 3112 AM,,,,,,,,, , 
1,AT,ATTP_3-112,ARA Zwentendorf  225 TU,,,,,,,,, , 
